League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.0, Old Odds: 2.29, New Odds: 1.826, Time: 2023-11-18 15:14:11
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.0, Old Odds: 2.15, New Odds: 1.826, Time: 2023-11-18 15:14:11
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.5, Old Odds: 1.99, New Odds: 1.602, Time: 2023-11-18 15:14:11
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.5, Old Odds: 1.952, New Odds: 1.602, Time: 2023-11-18 15:14:11
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.5, Old Odds: 1.813, New Odds: 1.602, Time: 2023-11-18 15:14:11
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.71, New Odds: 2.01, Time: 2023-11-18 15:14:11
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.64, New Odds: 2.01, Time: 2023-11-18 15:14:11
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.37, New Odds: 2.01, Time: 2023-11-18 15:14:11
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 0.5, Old Odds: 2.49, New Odds: 2.17, Time: 2023-11-18 15:14:11
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -0.5, Old Odds: 1.854, New Odds: 1.578, Time: 2023-11-18 15:14:11
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.0, Old Odds: 1.943, New Odds: 1.684, Time: 2023-11-18 15:14:11
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.0, Old Odds: 2.14, New Odds: 1.684, Time: 2023-11-18 15:14:11
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -1.0, Old Odds: 2.32, New Odds: 2.0, Time: 2023-11-18 15:14:11
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: 2 0.0, Old Odds: 1.854, New Odds: 1.588, Time: 2023-11-18 15:14:11
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: X 0.0, Old Odds: 4.33, New Odds: 3.65, Time: 2023-11-18 15:14:11
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.5, Old Odds: 1.781, New Odds: 1.54, Time: 2023-11-18 15:14:42
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.0, Old Odds: 2.29, New Odds: 1.909, Time: 2023-11-18 15:14:42
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.0, Old Odds: 2.15, New Odds: 1.909, Time: 2023-11-18 15:14:42
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.71, New Odds: 2.13, Time: 2023-11-18 15:14:42
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.64, New Odds: 2.13, Time: 2023-11-18 15:14:42
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.37, New Odds: 2.13, Time: 2023-11-18 15:14:42
League: Netherlands - Derde Divisie, Match: OJC Rosmalen-vs-Oss 20, Market: H1 0.0, Old Odds: 2.06, New Odds: 1.84, Time: 2023-11-18 15:14:42
League: Netherlands - Derde Divisie, Match: OJC Rosmalen-vs-Oss 20, Market: 1 0.0, Old Odds: 2.66, New Odds: 2.37, Time: 2023-11-18 15:14:42
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.5, Old Odds: 1.781, New Odds: 1.578, Time: 2023-11-18 15:15:13
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.0, Old Odds: 2.29, New Odds: 1.98, Time: 2023-11-18 15:15:13
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.5, Old Odds: 1.99, New Odds: 1.704, Time: 2023-11-18 15:15:13
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.5, Old Odds: 1.952, New Odds: 1.704, Time: 2023-11-18 15:15:13
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.71, New Odds: 2.19, Time: 2023-11-18 15:15:13
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.64, New Odds: 2.19, Time: 2023-11-18 15:15:13
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 0.5, Old Odds: 2.49, New Odds: 2.09, Time: 2023-11-18 15:15:13
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -0.5, Old Odds: 1.854, New Odds: 1.625, Time: 2023-11-18 15:15:13
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.0, Old Odds: 1.943, New Odds: 1.636, Time: 2023-11-18 15:15:13
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.0, Old Odds: 2.14, New Odds: 1.636, Time: 2023-11-18 15:15:13
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -1.0, Old Odds: 2.5, New Odds: 2.07, Time: 2023-11-18 15:15:13
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -1.0, Old Odds: 2.32, New Odds: 2.07, Time: 2023-11-18 15:15:13
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: U 3.0, Old Odds: 1.826, New Odds: 1.632, Time: 2023-11-18 15:15:13
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: 2 0.0, Old Odds: 1.854, New Odds: 1.632, Time: 2023-11-18 15:15:13
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: X 0.0, Old Odds: 4.03, New Odds: 3.6, Time: 2023-11-18 15:15:13
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: X 0.0, Old Odds: 4.33, New Odds: 3.6, Time: 2023-11-18 15:15:13
League: Netherlands - Derde Divisie, Match: OJC Rosmalen-vs-Oss 20, Market: H1 0.0, Old Odds: 2.06, New Odds: 1.8, Time: 2023-11-18 15:15:13
League: Netherlands - Derde Divisie, Match: OJC Rosmalen-vs-Oss 20, Market: H1 0.0, Old Odds: 2.01, New Odds: 1.8, Time: 2023-11-18 15:15:13
League: Netherlands - Derde Divisie, Match: OJC Rosmalen-vs-Oss 20, Market: 1 0.0, Old Odds: 2.66, New Odds: 2.31, Time: 2023-11-18 15:15:13
League: Netherlands - Derde Divisie, Match: OJC Rosmalen-vs-Oss 20, Market: 1 0.0, Old Odds: 2.59, New Odds: 2.31, Time: 2023-11-18 15:15:13
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.5, Old Odds: 1.781, New Odds: 1.598, Time: 2023-11-18 15:15:44
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.0, Old Odds: 2.29, New Odds: 2.02, Time: 2023-11-18 15:15:44
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.5, Old Odds: 1.99, New Odds: 1.757, Time: 2023-11-18 15:15:44
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.71, New Odds: 2.29, Time: 2023-11-18 15:15:44
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.64, New Odds: 2.29, Time: 2023-11-18 15:15:44
