Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: 2 0.0, Old Odds: 3.97, New Odds: 3.57, Time: 2023-11-18 23:27:16
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H2 1.0, Old Odds: 1.826, New Odds: 1.625, Time: 2023-11-18 23:28:21
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H2 0.5, Old Odds: 2.26, New Odds: 2.03, Time: 2023-11-18 23:28:21
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: O 4.0, Old Odds: 2.59, New Odds: 2.28, Time: 2023-11-18 23:28:21
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: 2 0.0, Old Odds: 4.21, New Odds: 3.56, Time: 2023-11-18 23:28:21
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: 2 0.0, Old Odds: 4.23, New Odds: 3.56, Time: 2023-11-18 23:28:21
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: 2 0.0, Old Odds: 3.97, New Odds: 3.56, Time: 2023-11-18 23:28:21
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H2 1.0, Old Odds: 1.826, New Odds: 1.621, Time: 2023-11-18 23:30:30
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: O 4.0, Old Odds: 2.59, New Odds: 2.31, Time: 2023-11-18 23:30:30
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: U 4.0, Old Odds: 1.751, New Odds: 1.571, Time: 2023-11-18 23:30:30
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H2 1.0, Old Odds: 1.826, New Odds: 1.617, Time: 2023-11-18 23:30:51
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H2 1.0, Old Odds: 1.8, New Odds: 1.617, Time: 2023-11-18 23:30:51
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H2 0.5, Old Odds: 2.26, New Odds: 2.02, Time: 2023-11-18 23:30:51
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: U 4.0, Old Odds: 1.751, New Odds: 1.552, Time: 2023-11-18 23:30:51
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: U 3.5, Old Odds: 2.18, New Odds: 1.952, Time: 2023-11-18 23:30:51
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H1 -1.0, Old Odds: 2.25, New Odds: 2.02, Time: 2023-11-18 23:31:34
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H1 -1.0, Old Odds: 2.26, New Odds: 2.02, Time: 2023-11-18 23:31:34
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H1 -0.5, Old Odds: 1.862, New Odds: 1.636, Time: 2023-11-18 23:31:34
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: O 4.0, Old Odds: 2.59, New Odds: 2.33, Time: 2023-11-18 23:31:34
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: U 4.0, Old Odds: 1.751, New Odds: 1.561, Time: 2023-11-18 23:31:34
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: U 3.5, Old Odds: 2.18, New Odds: 1.961, Time: 2023-11-18 23:31:34
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: 1 0.0, Old Odds: 1.862, New Odds: 1.649, Time: 2023-11-18 23:31:34
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H1 -1.0, Old Odds: 2.26, New Odds: 2.03, Time: 2023-11-18 23:32:17
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: U 4.0, Old Odds: 1.751, New Odds: 1.549, Time: 2023-11-18 23:32:17
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: U 3.5, Old Odds: 2.18, New Odds: 1.943, Time: 2023-11-18 23:32:17
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H1 -1.0, Old Odds: 2.41, New Odds: 2.06, Time: 2023-11-18 23:32:59
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: H1 -0.5, Old Odds: 1.862, New Odds: 1.657, Time: 2023-11-18 23:32:59
